date,lat,lon,fishing_hours
2018-01-01,2.3,101.9,13.444444444444443
2018-01-01,2.3,102.0,20.311666666666667
2018-01-01,2.4,102.0,30.586666666666666
2018-01-01,2.6,103.9,56.53111111111111
2018-01-01,2.6,104.0,422.9905555555555
2018-01-01,2.6,104.1,22.5825
2018-01-01,2.7,101.4,2.3630555555555555
2018-01-01,2.7,103.7,279.4077777777779
2018-01-01,2.7,103.8,198.8155555555556
2018-01-01,2.7,103.9,225.4425
2018-01-01,2.7,104.0,594.7691666666667
2018-01-01,2.7,104.1,33.78111111111111
2018-01-01,2.7,104.2,54.61361111111111
2018-01-01,2.8,101.3,34.80027777777778
2018-01-01,2.8,101.4,27.918611111111105
2018-01-01,2.8,103.6,7.683611111111111
2018-01-01,2.8,103.7,573.1627777777778
2018-01-01,2.8,103.8,75.37444444444444
2018-01-01,2.8,103.9,93.80555555555554
2018-01-01,2.8,104.0,14.913888888888891
2018-01-01,2.8,104.1,15.186944444444446
2018-01-01,2.9,101.2,0.23333333333333334
2018-01-01,2.9,101.3,0.6680555555555555
2018-01-01,3.0,101.2,5.900833333333333
2018-01-01,3.0,101.3,13.648888888888889
2018-01-01,3.1,101.1,64.83305555555556
2018-01-01,3.1,101.2,369.21555555555557
2018-01-01,3.1,101.3,166.87277777777777
2018-01-01,3.2,101.1,8.415
2018-01-01,3.2,101.2,39.077777777777776
2018-01-01,3.2,101.3,0.8166666666666667
2018-01-01,3.3,101.1,3.0144444444444445
2018-01-01,3.7,103.4,118.74944444444444
2018-01-01,3.8,103.3,1.7408333333333335
2018-01-01,3.8,103.4,251.475
2018-01-01,3.8,103.5,444.71833333333336
2018-01-01,3.9,103.5,54.619166666666665
2018-01-01,4.0,100.2,1.035277777777778
2018-01-01,4.1,99.9,10.946666666666667
2018-01-01,4.1,100.1,6.542777777777778
2018-01-01,4.1,100.2,13.660277777777777
2018-01-01,4.2,99.8,11.886944444444444
2018-01-01,4.2,100.0,14.942777777777778
2018-01-01,4.2,100.1,24.285
2018-01-01,4.2,100.2,37.759166666666665
2018-01-01,4.2,100.3,28.051388888888887
2018-01-01,4.2,100.4,1.5294444444444444
2018-01-01,4.3,99.7,9.529444444444444
2018-01-01,4.3,99.9,32.4425
2018-01-01,4.3,100.1,67.60722222222222
2018-01-01,4.3,100.2,157.16194444444443
2018-01-01,4.3,100.3,128.3983333333333
2018-01-01,4.3,100.4,28.077499999999997
2018-01-01,4.4,99.5,2.716111111111111
2018-01-01,4.4,99.9,12.913611111111111
2018-01-01,4.4,100.0,13.920555555555554
2018-01-01,4.4,100.1,108.52916666666664
2018-01-01,4.4,100.2,367.3988888888889
2018-01-01,4.4,100.3,315.58138888888885
2018-01-01,4.4,100.4,230.08999999999997
2018-01-01,4.4,100.5,313.83916666666664
2018-01-01,4.4,100.6,118.45694444444445
2018-01-01,4.4,113.8,1.4652777777777777
2018-01-01,4.4,113.9,7.7924999999999995
2018-01-01,4.4,114.0,7.355833333333333
2018-01-01,4.5,99.3,19.23638888888889
2018-01-01,4.5,99.5,2.3516666666666666
2018-01-01,4.5,99.6,23.104444444444447
2018-01-01,4.5,99.8,1.1075
2018-01-01,4.5,99.9,4.239166666666667
2018-01-01,4.5,100.0,92.41222222222223
2018-01-01,4.5,100.1,247.88
2018-01-01,4.5,100.2,495.86750000000006
2018-01-01,4.5,100.3,631.9897222222222
2018-01-01,4.5,100.4,1613.0791666666664
2018-01-01,4.5,100.5,2160.487777777778
2018-01-01,4.5,100.6,785.7911111111111
2018-01-01,4.5,113.7,19.25027777777778
2018-01-01,4.5,113.8,39.346111111111114
2018-01-01,4.5,113.9,55.908055555555556
2018-01-01,4.5,114.0,31.63527777777778
2018-01-01,4.6,99.1,19.41472222222222
2018-01-01,4.6,99.2,6.0175
2018-01-01,4.6,99.4,3.4555555555555557
2018-01-01,4.6,99.5,26.5625
2018-01-01,4.6,99.9,19.144444444444446
2018-01-01,4.6,100.0,145.80555555555557
2018-01-01,4.6,100.1,256.78805555555556
2018-01-01,4.6,100.2,786.6347222222222
2018-01-01,4.6,100.3,715.4036111111111
2018-01-01,4.6,100.4,6057.455000000002
2018-01-01,4.6,100.5,5761.567499999999
2018-01-01,4.6,100.6,286.0002777777778
2018-01-01,4.6,113.8,53.02
2018-01-01,4.6,113.9,122.72472222222223
2018-01-01,4.6,114.0,55.739444444444445
2018-01-01,4.6,114.1,113.21111111111111
2018-01-01,4.7,99.1,25.11777777777778
2018-01-01,4.7,99.2,19.134166666666665
2018-01-01,4.7,99.3,3.8144444444444443
2018-01-01,4.7,99.5,0.9738888888888888
2018-01-01,4.7,99.6,13.174166666666666
2018-01-01,4.7,99.8,1.7475
2018-01-01,4.7,99.9,32.462777777777774
2018-01-01,4.7,100.0,176.37805555555553
2018-01-01,4.7,100.1,436.55916666666667
2018-01-01,4.7,100.2,578.7075
2018-01-01,4.7,100.3,1200.3772222222224
2018-01-01,4.7,100.4,10097.772222222226
2018-01-01,4.7,100.5,15642.219444444432
2018-01-01,4.7,100.6,515.223888888889
2018-01-01,4.7,113.8,9.328055555555554
2018-01-01,4.7,113.9,103.46277777777779
2018-01-01,4.7,114.0,416.1433333333334
2018-01-01,4.7,114.1,197.30888888888887
2018-01-01,4.8,99.2,23.488611111111112
2018-01-01,4.8,99.3,0.6883333333333334
2018-01-01,4.8,99.9,107.40861111111113
2018-01-01,4.8,100.0,97.11166666666668
2018-01-01,4.8,100.1,202.5213888888889
2018-01-01,4.8,100.2,477.40388888888884
2018-01-01,4.8,100.3,1590.3999999999999
2018-01-01,4.8,100.4,9710.026111111114
2018-01-01,4.8,100.5,8185.302222222221
2018-01-01,4.8,100.6,646.0802777777778
2018-01-01,4.8,100.7,1.287777777777778
2018-01-01,4.8,113.9,2.024166666666667
2018-01-01,4.8,114.0,60.482777777777784
2018-01-01,4.9,99.8,1.9472222222222222
2018-01-01,4.9,99.9,28.80833333333333
2018-01-01,4.9,100.0,26.31861111111111
2018-01-01,4.9,100.1,159.57916666666665
2018-01-01,4.9,100.2,822.4361111111111
2018-01-01,4.9,100.3,340.3338888888889
2018-01-01,4.9,100.4,3.5338888888888893
2018-01-01,5.0,99.9,11.428055555555556
2018-01-01,5.0,100.0,23.680833333333332
2018-01-01,5.0,100.1,281.25305555555553
2018-01-01,5.0,100.2,627.8522222222222
2018-01-01,5.0,100.3,75.98388888888888
2018-01-01,5.1,99.8,5.479722222222223
2018-01-01,5.1,100.0,0.9497222222222222
2018-01-01,5.1,100.1,54.00138888888888
2018-01-01,5.1,100.2,249.9202777777778
2018-01-01,5.1,100.3,65.71555555555555
2018-01-01,5.2,100.0,0.9108333333333334
2018-01-01,5.2,100.1,20.078055555555554
2018-01-01,5.2,100.2,113.30416666666667
2018-01-01,5.2,100.3,114.3477777777778
2018-01-01,5.3,100.0,32.88111111111111
2018-01-01,5.3,100.1,23.14638888888889
2018-01-01,5.3,100.2,5.2275
2018-01-01,5.3,100.3,122.13888888888889
2018-01-01,5.4,100.0,5.059444444444445
2018-01-01,5.4,100.1,46.343888888888884
2018-01-01,5.4,115.2,19.215555555555557
2018-01-01,5.4,115.3,2.0933333333333333
2018-01-01,5.5,99.7,20.400277777777777
